Id,Date,GrossSales,SalesForecast,BreadDescDBString
91,8/13/2017 12:00:00 AM,878.1,1500,Name=Sourdough;BeginInventory=56;FreezerCount=32;Delivery=144;Backup=32;ParFactor=9.546849;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=8;Delivery=40;Backup=16;ParFactor=36.97832;Id=-1
92,8/14/2017 12:00:00 AM,1233.63,1250,Name=Sourdough;BeginInventory=32;FreezerCount=32;Delivery=112;Backup=32;ParFactor=9.675669;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=32;Delivery=24;Backup=16;ParFactor=37.28176;Id=-1
93,8/15/2017 12:00:00 AM,1162.53,1100,Name=Sourdough;BeginInventory=32;FreezerCount=32;Delivery=112;Backup=32;ParFactor=9.675669;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=32;Delivery=32;Backup=16;ParFactor=37.28176;Id=-1
94,8/16/2017 12:00:00 AM,1168.69,1200,Name=Sourdough;BeginInventory=32;FreezerCount=32;Delivery=128;Backup=32;ParFactor=9.675669;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=32;Delivery=24;Backup=16;ParFactor=37.28176;Id=-1
95,8/17/2017 12:00:00 AM,1226.11,1200,Name=Sourdough;BeginInventory=56;FreezerCount=32;Delivery=128;Backup=32;ParFactor=9.675669;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=0;Delivery=32;Backup=16;ParFactor=37.28176;Id=-1
96,8/18/2017 12:00:00 AM,1717.46,1500,Name=Sourdough;BeginInventory=80;FreezerCount=32;Delivery=128;Backup=32;ParFactor=9.675669;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=16;Delivery=40;Backup=16;ParFactor=37.28176;Id=-1
97,8/19/2017 12:00:00 AM,1897.14,1500,Name=Sourdough;BeginInventory=48;FreezerCount=32;Delivery=128;Backup=32;ParFactor=9.675669;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=16;Delivery=40;Backup=16;ParFactor=37.28176;Id=-1
98,8/20/2017 12:00:00 AM,1769.99,1750,Name=Sourdough;BeginInventory=40;FreezerCount=0;Delivery=136;Backup=32;ParFactor=9.675669;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=16;Delivery=32;Backup=16;ParFactor=37.28176;Id=-1
99,8/21/2017 12:00:00 AM,1034.57,1100,Name=Sourdough;BeginInventory=64;FreezerCount=0;Delivery=192;Backup=32;ParFactor=9.804179;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=16;Delivery=56;Backup=16;ParFactor=40.62918;Id=-1
100,8/22/2017 12:00:00 AM,1354.74,1200,Name=Sourdough;BeginInventory=72;FreezerCount=64;Delivery=48;Backup=32;ParFactor=9.804179;Id=-1|Name=Whole Wheat;BeginInventory=32;FreezerCount=32;Delivery=16;Backup=16;ParFactor=40.62918;Id=-1
101,8/23/2017 12:00:00 AM,1142.8,1200,Name=Sourdough;BeginInventory=32;FreezerCount=40;Delivery=96;Backup=32;ParFactor=9.804179;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=32;Delivery=16;Backup=16;ParFactor=40.62918;Id=-1
102,8/24/2017 12:00:00 AM,1281.16,1300,Name=Sourdough;BeginInventory=16;FreezerCount=40;Delivery=152;Backup=32;ParFactor=9.804179;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=32;Delivery=64;Backup=16;ParFactor=40.62918;Id=-1
103,8/25/2017 12:00:00 AM,1600.42,1500,Name=Sourdough;BeginInventory=56;FreezerCount=40;Delivery=144;Backup=32;ParFactor=9.804179;Id=-1|Name=Whole Wheat;BeginInventory=48;FreezerCount=32;Delivery=16;Backup=16;ParFactor=40.62918;Id=-1
